63,Titan NFT #063,Unique,black_gradient,silver,Tokamak Bridge,Titan Link,,,,,,,,,,,,
64,Titan NFT #064,Normal,purple,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
65,Titan NFT #065,Rare,skyblue_gradient,skyblue_gradient,Tokamak White,Tokamak Link,,,,,,,,,,,,
66,Titan NFT #066,Normal,red,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
67,Titan NFT #067,Rare,skyblue_gradient,skyblue_gradient,Tokamak White,Tokamak Link,,,,,,,,,,,,
68,Titan NFT #068,Normal,purple,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
69,Titan NFT #069,Normal,red,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
70,Titan NFT #070,Unique,black_gradient,silver,Tokamak Bridge,Titan Link,,,,,,,,,,,,
71,Titan NFT #071,Normal,blue,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
72,Titan NFT #072,Rare,skyblue_gradient,skyblue_gradient,Tokamak White,Tokamak Link,,,,,,,,,,,,
73,Titan NFT #073,Normal,blue,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
74,Titan NFT #074,Normal,green,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
75,Titan NFT #075,Normal,blue,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
76,Titan NFT #076,Normal,purple,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
77,Titan NFT #077,Titan,sapphire,sapphire,Titan,Titan Link,,,,,,,,,,,,
78,Titan NFT #078,Normal,red,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
79,Titan NFT #079,Normal,navy,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
80,Titan NFT #080,Rare,skyblue_gradient,skyblue_gradient,Tokamak White,Tokamak Link,,,,,,,,,,,,
81,Titan NFT #081,Normal,blue,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
82,Titan NFT #082,Rare,skyblue_gradient,skyblue_gradient,Tokamak White,Tokamak Link,,,,,,,,,,,,
83,Titan NFT #083,Normal,green,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
84,Titan NFT #084,Rare,skyblue_gradient,skyblue_gradient,Tokamak White,Tokamak Link,,,,,,,,,,,,
85,Titan NFT #085,Normal,navy,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
86,Titan NFT #086,Rare,skyblue_gradient,skyblue_gradient,Tokamak White,Tokamak Link,,,,,,,,,,,,
87,Titan NFT #087,Normal,red,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
